STUDENT_ID,X1POVERTY,X1CONTROL,X1LOCALE,X1REGION,S2SEX,S2FRDROPOUT,S2EDUASP,S2EDUEXP,S2SUREBA,S2CLG2013,S2GOVLOAN,S2OCC30EARN,S2FAVSUBJ,S2CANTAFFORD,S2ACADEMIC,S2CANTSEND,S2HSJOBEVER,S2HSJOBHR,S3ANYCLGCRED,S3DUAL,S3APMATH,S3APSCIENCE,S3CNSLCLG,S3CLGINFLU,X1FAMINCOME,X3TGPATOT,X1RACE
10158,0,Public,Rural,West,Male,0,7,12,1,1,2,300000,3,4,0,-7,1,20,1,2,1,0,1,10,5,4,8
10159,0,Private,Suburb,Northeast,Female,0,8,13,2,1,3,-7,3,3,0,0,0,-7,-8,-8,-8,-8,-8,-8,7,-8,8
10160,0,Public,Rural,Midwest,Female,0,7,10,1,1,1,75000,4,3,0,0,0,-7,1,2,0,0,1,4,7,3,8
10161,0,Public,Rural,South,Male,0,6,6,2,1,3,-7,11,2,0,-7,1,10,0,-7,-7,-7,2,4,2,3,8
10162,0,Public,Town,South,Male,0,8,2,2,1,3,-7,4,3,0,0,0,-7,0,-7,-7,-7,1,6,3,3.5,5
10163,0,Public,Rural,South,Male,0,7,7,2,1,3,-9,3,2,0,0,0,-7,1,2,1,1,1,4,5,2.5,5
10164,0,Public,Suburb,Midwest,Male,0,7,12,1,1,3,-9,11,3,1,0,0,-7,1,2,0,0,1,4,11,2,2
10165,-8,Public,Suburb,South,Male,0,6,10,2,1,2,-7,7,3,0,0,1,12,-8,-8,-8,-8,-8,-8,-8,2.5,-9
10166,0,Public,Rural,South,Male,0,7,12,1,1,3,65000,6,3,0,0,0,-7,1,1,0,1,1,4,5,4,8
10167,-8,Public,City,South,Male,1,6,10,2,1,3,50000,12,3,0,0,1,25,-8,-8,-8,-8,-8,-8,-8,2.5,8
10168,0,Private,City,South,Male,0,5,8,1,1,3,-7,11,3,0,0,0,-7,0,-7,-7,-7,1,4,7,3,8
10169,0,Public,Rural,Midwest,Male,0,6,8,1,1,1,75000,1,2,0,0,1,16,0,-7,-7,-7,-7,4,5,3,8
10170,0,Public,Rural,South,Male,0,7,10,1,1,1,70000,6,4,1,0,1,20,1,2,1,1,1,4,3,4,2
10171,0,Private,City,South,Female,0,7,12,1,1,1,60000,3,4,0,0,1,10,1,2,1,1,1,10,4,4,8
10172,1,Public,Suburb,Midwest,Female,0,7,6,3,1,3,25000,7,2,0,0,1,10,0,-7,-7,-7,2,10,1,2,8
10173,0,Private,City,Midwest,Female,0,7,12,1,1,2,1000000,6,4,1,0,0,-7,1,2,1,1,1,4,13,-8,8
10175,-8,Public,City,Midwest,Male,5,7,8,2,1,3,-7,5,3,0,0,1,22,1,3,-7,-7,1,6,-8,3.5,2
10176,-8,Public,Town,Northeast,Female,0,7,8,2,1,1,-9,11,3,0,0,1,25,-4,-4,-4,-4,-7,-4,-8,2.5,8
10177,0,Public,Suburb,South,Other or Not Defined,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,3,-8,8
10178,0,Public,City,West,Female,0,6,10,1,1,3,-7,4,3,1,0,0,-7,1,1,1,1,2,4,8,3.5,8
10179,-8,Private,City,South,Female,0,6,6,3,1,3,-9,4,2,1,1,0,-7,0,-7,-7,-7,1,5,-8,3,2
10180,0,Private,City,West,Other or Not Defined,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,2,0,1,1,4,8,3.5,6
10181,-8,Public,Rural,South,Male,5,3,2,3,3,2,-7,11,2,0,1,1,35,-8,-8,-8,-8,-8,-8,-8,1,-9
10182,0,Private,Suburb,West,Other or Not Defined,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,8,-8,8
10183,0,Public,City,South,Female,1,7,10,1,1,1,75000,11,4,0,0,1,20,1,1,1,0,1,4,6,3.5,8
10184,0,Public,City,Midwest,Male,0,7,8,2,1,1,-7,3,3,0,0,0,-7,1,2,1,0,1,4,4,3,8
